Date,Adj.close,Buy/Sell,Bank,Shares
24/02/2000,10092.63,0.0,1.0,0.0
25/02/2000,9862.12,0.0,2.0,0.0
26/02/2000,9862.12,0.0,3.0,0.0
27/02/2000,9862.12,0.0,4.0,0.0
28/02/2000,10038.65,0.0,5.0,0.0
29/02/2000,10128.31,0.0,6.0,0.0
1/03/2000,10137.93,0.0,7.0,0.0
2/03/2000,10164.92,0.0,8.0,0.0
3/03/2000,10367.2,0.0,9.0,0.0
4/03/2000,10367.2,0.0,10.0,0.0
5/03/2000,10367.2,0.0,11.0,0.0
6/03/2000,10170.5,0.0,12.0,0.0
7/03/2000,9796.03,0.0,13.0,0.0
8/03/2000,9856.53,0.0,14.0,0.0
9/03/2000,10010.73,0.0,15.0,0.0
10/03/2000,9928.82,0.0,16.0,0.0
11/03/2000,9928.82,0.0,17.0,0.0
12/03/2000,9928.82,0.0,18.0,0.0
13/03/2000,9947.13,0.0,19.0,0.0
14/03/2000,9811.24,0.0,20.0,0.0
15/03/2000,10131.41,0.0,21.0,0.0
16/03/2000,10630.6,0.0,22.0,0.0
17/03/2000,10595.23,0.0,23.0,0.0
18/03/2000,10595.23,0.0,24.0,0.0
19/03/2000,10595.23,0.0,25.0,0.0
20/03/2000,10680.24,0.0,26.0,0.0
21/03/2000,10907.34,0.0,27.0,0.0
22/03/2000,10866.7,0.0,28.0,0.0
23/03/2000,11119.86,0.0,29.0,0.0
24/03/2000,11112.72,0.0,30.0,0.0
25/03/2000,11112.72,0.0,31.0,0.0
26/03/2000,11112.72,0.0,32.0,0.0
27/03/2000,11025.85,0.0,33.0,0.0
28/03/2000,10936.11,0.0,34.0,0.0
29/03/2000,11018.72,0.0,35.0,0.0
30/03/2000,10980.25,0.0,36.0,0.0
31/03/2000,10921.92,0.0,37.0,0.0
1/04/2000,10921.92,0.0,38.0,0.0
2/04/2000,10921.92,0.0,39.0,0.0
3/04/2000,11221.93,0.0,40.0,0.0
4/04/2000,11164.84,0.0,41.0,0.0
5/04/2000,11033.92,0.0,42.0,0.0
6/04/2000,11114.27,0.0,43.0,0.0
7/04/2000,11111.48,0.0,44.0,0.0
8/04/2000,11111.48,0.0,45.0,0.0
9/04/2000,11111.48,0.0,46.0,0.0
10/04/2000,11186.56,0.0,47.0,0.0
11/04/2000,11287.08,0.0,48.0,0.0
12/04/2000,11125.13,0.0,49.0,0.0
13/04/2000,10923.55,0.0,50.0,0.0
14/04/2000,10305.77,0.0,51.0,0.0
15/04/2000,10305.77,0.0,52.0,0.0
16/04/2000,10305.77,0.0,53.0,0.0
17/04/2000,10582.51,0.0,54.0,0.0
18/04/2000,10767.42,0.0,55.0,0.0
19/04/2000,10674.96,0.0,56.0,0.0
20/04/2000,10844.05,0.0,57.0,0.0
21/04/2000,10844.05,0.0,58.0,0.0
22/04/2000,10844.05,0.0,59.0,0.0
23/04/2000,10844.05,0.0,60.0,0.0
24/04/2000,10906.1,0.0,61.0,0.0
25/04/2000,11124.82,0.0,62.0,0.0
26/04/2000,10945.5,0.0,63.0,0.0
27/04/2000,10888.1,0.0,64.0,0.0
28/04/2000,10733.91,0.0,65.0,0.0
29/04/2000,10733.91,0.0,66.0,0.0
30/04/2000,10733.91,0.0,67.0,0.0
1/05/2000,10811.78,0.0,68.0,0.0
2/05/2000,10731.12,0.0,69.0,0.0
3/05/2000,10480.13,0.0,70.0,0.0
4/05/2000,10412.49,0.0,71.0,0.0
5/05/2000,10577.86,0.0,72.0,0.0
6/05/2000,10577.86,0.0,73.0,0.0
7/05/2000,10577.86,0.0,74.0,0.0
8/05/2000,10603.63,0.0,75.0,0.0
9/05/2000,10536.75,0.0,76.0,0.0
10/05/2000,10367.78,0.0,77.0,0.0
11/05/2000,10545.97,0.0,78.0,0.0
12/05/2000,10609.37,0.0,79.0,0.0
13/05/2000,10609.37,0.0,80.0,0.0
14/05/2000,10609.37,0.0,81.0,0.0
15/05/2000,10807.78,0.0,82.0,0.0
16/05/2000,10934.57,0.0,83.0,0.0
17/05/2000,10769.74,0.0,84.0,0.0
18/05/2000,10777.28,0.0,85.0,0.0
19/05/2000,10626.85,0.0,86.0,0.0
20/05/2000,10626.85,0.0,87.0,0.0
21/05/2000,10626.85,0.0,88.0,0.0
22/05/2000,10542.55,0.0,89.0,0.0
23/05/2000,10422.27,0.0,90.0,0.0
24/05/2000,10535.35,0.0,91.0,0.0
25/05/2000,10323.92,0.0,92.0,0.0
26/05/2000,10299.24,0.0,93.0,0.0
27/05/2000,10299.24,0.0,94.0,0.0
28/05/2000,10299.24,0.0,95.0,0.0
29/05/2000,10299.24,0.0,96.0,0.0
30/05/2000,10527.13,0.0,97.0,0.0
31/05/2000,10522.33,0.0,98.0,0.0
1/06/2000,10652.2,0.0,99.0,0.0
2/06/2000,10794.76,0.0,100.0,0.0
3/06/2000,10794.76,0.0,101.0,0.0
4/06/2000,10794.76,0.0,102.0,0.0
5/06/2000,10815.3,0.0,103.0,0.0
6/06/2000,10735.57,0.0,104.0,0.0
7/06/2000,10812.86,0.0,105.0,0.0
8/06/2000,10668.72,0.0,106.0,0.0
9/06/2000,10614.06,0.0,107.0,0.0
10/06/2000,10614.06,0.0,108.0,0.0
11/06/2000,10614.06,0.0,109.0,0.0
12/06/2000,10564.21,0.0,110.0,0.0
13/06/2000,10621.84,0.0,111.0,0.0
14/06/2000,10687.95,0.0,112.0,0.0
15/06/2000,10714.82,0.0,113.0,0.0
16/06/2000,10449.3,0.0,114.0,0.0
17/06/2000,10449.3,0.0,115.0,0.0
18/06/2000,10449.3,0.0,116.0,0.0
19/06/2000,10557.84,0.0,117.0,0.0
20/06/2000,10435.16,0.0,118.0,0.0
21/06/2000,10497.74,0.0,119.0,0.0
22/06/2000,10376.12,0.0,120.0,0.0
23/06/2000,10404.75,0.0,121.0,0.0
24/06/2000,10404.75,0.0,122.0,0.0
25/06/2000,10404.75,0.0,123.0,0.0
26/06/2000,10542.99,0.0,124.0,0.0
27/06/2000,10504.46,0.0,125.0,0.0
28/06/2000,10527.79,0.0,126.0,0.0
29/06/2000,10398.04,0.0,127.0,0.0
30/06/2000,10447.89,0.0,128.0,0.0
1/07/2000,10447.89,0.012309949664477708,0.0,0.012309949664477708
2/07/2000,10447.89,0.0,1.0,0.012309949664477708
3/07/2000,10560.67,0.0,2.0,0.012309949664477708
4/07/2000,10560.67,-0.012309949664477708,132.61131217479033,0.0
5/07/2000,10483.6,0.0,133.61131217479033,0.0
6/07/2000,10481.47,0.0,134.61131217479033,0.0
7/07/2000,10635.98,0.0,135.61131217479033,0.0
8/07/2000,10635.98,0.0,136.61131217479033,0.0
9/07/2000,10635.98,0.0,137.61131217479033,0.0
10/07/2000,10646.58,0.0,138.61131217479033,0.0
11/07/2000,10727.19,0.0,139.61131217479033,0.0
12/07/2000,10783.76,0.0,140.61131217479033,0.0
13/07/2000,10788.71,0.0,141.61131217479033,0.0
14/07/2000,10812.75,0.0,142.61131217479033,0.0
15/07/2000,10812.75,0.0,143.61131217479033,0.0
16/07/2000,10812.75,0.0,144.61131217479033,0.0
17/07/2000,10804.27,0.0,145.61131217479033,0.0
18/07/2000,10739.92,0.0,146.61131217479033,0.0
19/07/2000,10696.08,0.0,147.61131217479033,0.0
20/07/2000,10843.87,0.0,148.61131217479033,0.0
21/07/2000,10733.56,0.0,149.61131217479033,0.0
22/07/2000,10733.56,0.0,150.61131217479033,0.0
23/07/2000,10733.56,0.0,151.61131217479033,0.0
24/07/2000,10685.12,0.0,152.61131217479033,0.0
25/07/2000,10699.97,0.0,153.61131217479033,0.0
26/07/2000,10516.48,0.0,154.61131217479033,0.0
27/07/2000,10586.13,0.0,155.61131217479033,0.0
28/07/2000,10511.17,0.0,156.61131217479033,0.0
29/07/2000,10511.17,0.0,157.61131217479033,0.0
30/07/2000,10511.17,0.0,158.61131217479033,0.0
31/07/2000,10521.98,0.0,159.61131217479033,0.0
1/08/2000,10606.95,0.0,160.61131217479033,0.0
2/08/2000,10687.53,0.0,161.61131217479033,0.0
3/08/2000,10706.58,0.0,162.61131217479033,0.0
4/08/2000,10767.75,0.0,163.61131217479033,0.0
5/08/2000,10767.75,0.0,164.61131217479033,0.0
6/08/2000,10767.75,0.0,165.61131217479033,0.0
7/08/2000,10867.01,0.0,166.61131217479033,0.0
8/08/2000,10976.89,0.0,167.61131217479033,0.0
9/08/2000,10905.83,0.0,168.61131217479033,0.0
10/08/2000,10908.76,0.0,169.61131217479033,0.0
11/08/2000,11027.8,0.0,170.61131217479033,0.0
12/08/2000,11027.8,0.0,171.61131217479033,0.0
13/08/2000,11027.8,0.0,172.61131217479033,0.0
14/08/2000,11176.14,0.0,173.61131217479033,0.0
15/08/2000,11067.0,0.0,174.61131217479033,0.0
16/08/2000,11008.39,0.0,175.61131217479033,0.0
17/08/2000,11055.64,0.0,176.61131217479033,0.0
18/08/2000,11046.48,0.0,177.61131217479033,0.0
19/08/2000,11046.48,0.0,178.61131217479033,0.0
20/08/2000,11046.48,0.0,179.61131217479033,0.0
21/08/2000,11079.81,0.0,180.61131217479033,0.0
22/08/2000,11139.15,0.0,181.61131217479033,0.0
23/08/2000,11144.65,0.0,182.61131217479033,0.0
24/08/2000,11182.74,0.0,183.61131217479033,0.0
25/08/2000,11192.63,0.0,184.61131217479033,0.0
26/08/2000,11192.63,0.0,185.61131217479033,0.0
27/08/2000,11192.63,0.0,186.61131217479033,0.0
28/08/2000,11252.84,0.0,187.61131217479033,0.0
29/08/2000,11215.1,0.0,188.61131217479033,0.0
30/08/2000,11103.01,0.0,189.61131217479033,0.0
31/08/2000,11215.1,0.0,190.61131217479033,0.0
1/09/2000,11238.78,0.0,191.61131217479033,0.0
2/09/2000,11238.78,0.0,192.61131217479033,0.0
3/09/2000,11238.78,0.0,193.61131217479033,0.0
4/09/2000,11238.78,0.0,194.61131217479033,0.0
5/09/2000,11260.61,0.0,195.61131217479033,0.0
6/09/2000,11310.64,0.0,196.61131217479033,0.0
7/09/2000,11259.87,0.0,197.61131217479033,0.0
8/09/2000,11220.65,0.0,198.61131217479033,0.0
9/09/2000,11220.65,0.0,199.61131217479033,0.0
10/09/2000,11220.65,0.0,200.61131217479033,0.0
11/09/2000,11195.49,0.0,201.61131217479033,0.0
12/09/2000,11233.23,0.0,202.61131217479033,0.0
13/09/2000,11182.18,0.0,203.61131217479033,0.0
14/09/2000,11087.47,0.0,204.61131217479033,0.0
15/09/2000,10927.0,0.0,205.61131217479033,0.0
16/09/2000,10927.0,0.0,206.61131217479033,0.0
17/09/2000,10927.0,0.0,207.61131217479033,0.0
18/09/2000,10808.52,0.0,208.61131217479033,0.0
19/09/2000,10789.29,0.0,209.61131217479033,0.0
20/09/2000,10687.92,0.0,210.61131217479033,0.0
21/09/2000,10765.52,0.0,211.61131217479033,0.0
22/09/2000,10847.37,0.0,212.61131217479033,0.0
23/09/2000,10847.37,0.0,213.61131217479033,0.0
24/09/2000,10847.37,0.0,214.61131217479033,0.0
25/09/2000,10808.15,0.0,215.61131217479033,0.0
26/09/2000,10631.32,0.0,216.61131217479033,0.0
27/09/2000,10628.36,0.0,217.61131217479033,0.0
28/09/2000,10824.06,0.0,218.61131217479033,0.0
29/09/2000,10650.92,0.0,219.61131217479033,0.0
30/09/2000,10650.92,0.0,220.61131217479033,0.0
1/10/2000,10650.92,0.0,221.61131217479033,0.0
2/10/2000,10700.13,0.0,222.61131217479033,0.0
3/10/2000,10719.74,0.0,223.61131217479033,0.0
4/10/2000,10784.48,0.0,224.61131217479033,0.0
5/10/2000,10724.92,0.0,225.61131217479033,0.0
6/10/2000,10596.54,0.0,226.61131217479033,0.0
7/10/2000,10596.54,0.0,227.61131217479033,0.0
8/10/2000,10596.54,0.0,228.61131217479033,0.0
