Date,Open,High,Low,Close,Volume,Adj. Close
25/01/2007,12621.77,12670.48,12461.54,12502.56,2.99E+09,12502.56
24/01/2007,12534.37,12659.42,12489.98,12621.77,2.78E+09,12621.77
23/01/2007,12467.96,12553.44,12467.96,12533.81,2.98E+09,12533.81
22/01/2007,12566.33,12619.04,12389.68,12477.16,2.54E+09,12477.16
21/01/2007,12567.93,12649.89,12462.5,12565.53,2.78E+09,12565.53
20/01/2007,12567.93,12649.89,12462.5,12565.53,2.78E+09,12565.53
19/01/2007,12567.93,12649.89,12462.5,12565.53,2.78E+09,12565.53
18/01/2007,12575.06,12674.16,12487.9,12567.93,2.82E+09,12567.93
17/01/2007,12563.53,12613.28,12550.95,12577.15,2.69E+09,12577.15
16/01/2007,12555.84,12638.27,12489.9,12582.59,2.60E+09,12582.59
15/01/2007,12514.66,12616.08,12432.3,12556.08,2.69E+09,12556.08
14/01/2007,12514.66,12616.08,12432.3,12556.08,2.69E+09,12556.08
13/01/2007,12514.66,12616.08,12432.3,12556.08,2.69E+09,12556.08
12/01/2007,12514.66,12616.08,12432.3,12556.08,2.69E+09,12556.08
11/01/2007,12442.96,12586.12,12413.72,12514.98,2.86E+09,12514.98
10/01/2007,12417,12487.18,12313.01,12442.16,2.76E+09,12442.16
9/01/2007,12424.77,12516.66,12337.85,12416.6,3.04E+09,12416.6
8/01/2007,12393.93,12445.37,12337.53,12423.49,2.76E+09,12423.49
7/01/2007,12480.05,12504.4,12326.79,12398.01,2.92E+09,12398.01
6/01/2007,12480.05,12504.4,12326.79,12398.01,2.92E+09,12398.01
5/01/2007,12480.05,12504.4,12326.79,12398.01,2.92E+09,12398.01
4/01/2007,12467.32,12510.26,12405.47,12480.69,3.00E+09,12480.69
3/01/2007,12459.54,12630.34,12373.82,12474.52,3.43E+09,12474.52
2/01/2007,12500.48,12560.16,12423.81,12463.15,1.68E+09,12463.15
1/01/2007,12500.48,12560.16,12423.81,12463.15,1.68E+09,12463.15
