Date,Open,High,Low,Close,Volume,Adj. Close*
25-Jan-07,12621.77,12670.48,12461.54,12502.56,2994330112,12502.56
24-Jan-07,12534.37,12659.42,12489.98,12621.77,2783180032,12621.77
23-Jan-07,12467.96,12553.44,12467.96,12533.81,2975069952,12533.81
22-Jan-07,12566.33,12619.04,12389.68,12477.16,2540120064,12477.16
19-Jan-07,12567.93,12649.89,12462.50,12565.53,2777479936,12565.53
18-Jan-07,12575.06,12674.16,12487.90,12567.93,2822429952,12567.93
17-Jan-07,12563.53,12613.28,12550.95,12577.15,2690269952,12577.15
16-Jan-07,12555.84,12638.27,12489.90,12582.59,2599529984,12582.59
12-Jan-07,12514.66,12616.08,12432.30,12556.08,2686479872,12556.08
11-Jan-07,12442.96,12586.12,12413.72,12514.98,2857870080,12514.98
10-Jan-07,12417.00,12487.18,12313.01,12442.16,2764659968,12442.16
9-Jan-07,12424.77,12516.66,12337.85,12416.60,3038380032,12416.60
8-Jan-07,12393.93,12445.37,12337.53,12423.49,2763340032,12423.49
5-Jan-07,12480.05,12504.40,12326.79,12398.01,2919399936,12398.01
4-Jan-07,12467.32,12510.26,12405.47,12480.69,3004460032,12480.69
3-Jan-07,12459.54,12630.34,12373.82,12474.52,3429159936,12474.52
29-Dec-06,12500.48,12560.16,12423.81,12463.15,1678200064,12463.15
28-Dec-06,12510.57,12566.17,12440.23,12501.52,1508569984,12501.52
27-Dec-06,12463.46,12518.34,12407.62,12510.57,1667369984,12510.57
26-Dec-06,12341.94,12439.19,12301.40,12407.63,1310310016,12407.63
22-Dec-06,12407.87,12417.96,12341.77,12343.21,1647590016,12343.21
21-Dec-06,12461.62,12526.59,12369.97,12421.25,2322409984,12421.25
20-Dec-06,12471.32,12549.35,12393.45,12463.87,2387630080,12463.87
19-Dec-06,12439.51,12517.78,12348.50,12471.32,2717060096,12471.32
18-Dec-06,12446.24,12545.74,12372.30,12441.27,2568140032,12441.27
15-Dec-06,12417.96,12536.37,12377.35,12445.52,3229580032,12445.52
14-Dec-06,12317.50,12472.76,12271.44,12416.76,2729700096,12416.76
13-Dec-06,12312.71,12411.55,12263.19,12317.50,2552260096,12317.50
12-Dec-06,12328.24,12396.01,12222.65,12315.58,2738170112,12315.58
11-Dec-06,12306.21,12399.54,12245.32,12328.48,2289900032,12328.48
8-Dec-06,12256.21,12332.16,12243.31,12307.48,2440460032,12307.48
7-Dec-06,12310.13,12396.33,12233.06,12278.41,2743150080,12278.41
6-Dec-06,12328.72,12390.88,12239.95,12309.25,2725280000,12309.25
5-Dec-06,12283.69,12398.57,12218.24,12331.60,2755699968,12331.60
4-Dec-06,12195.57,12349.87,12149.27,12283.85,2766320128,12283.85
1-Dec-06,12220.97,12289.30,12070.52,12194.13,2800979968,12194.13
30-Nov-06,12226.73,12317.10,12118.42,12221.93,4006230016,12221.93
29-Nov-06,12134.40,12283.05,12119.70,12226.73,2790970112,12226.73
28-Nov-06,12095.27,12148.78,12073.40,12136.44,2639749888,12136.44
27-Nov-06,12279.13,12303.32,12079.01,12121.71,2711209984,12121.71
24-Nov-06,12321.71,12340.89,12219.28,12280.17,832550016,12280.17
22-Nov-06,12321.91,12403.54,12238.43,12326.95,2237710080,12326.95
